"species","species_comp","type","species_comp_source","local_name_ST","local_name_PC"
"Ablennes hians","Ablennes hians","Teleost","FGDs, KIIs, Field observations","Agulha espada","Agulha espada"
"Abudefduf saxatilis","Abudefduf saxatilis","Teleost","FGDs, KIIs, Field observations","Tchintchin, Thinthe","Tchintchin"
"Acanthocybium solandri","Acanthocybium solandri","Teleost","FGDs, KIIs, Field observations","Peixe fumo","Peixe fumo"
"Acanthurus monroviae","Acanthurus monroviae","Teleost","FGDs, KIIs, Field observations","Asno laceta","Asno lamina"
"Albula vulpes","Albula vulpes","Teleost","FGDs, KIIs, Field observations","Columpiam balabo","Columpiam balabo"
"Alectis alexandrina","Alectis alexandrina","Teleost","FGDs, KIIs, Field observations","Pampulé","Peixe prata"
"Aluterus scriptus","Aluterus scriptus","Teleost","FGDs, KIIs, Field observations","Asno lembe-lembe","Asno preguiçosa"
"Anthias anthias","Anthias anthias","Teleost","FGDs, KIIs, Field observations","Capitão","Capitão"
"Apsilus fuscus","Apsilus fuscus","Teleost","FGDs, KIIs, Field observations","Peixe novo","Peixe novo"
"Auxis thazard","Auxis thazard","Teleost","FGDs, KIIs, Field observations","Fulu-fulu rebola","Fulu-fulu rebola"
"Auxis thazard + Euthynnus alletteratus","Auxis thazard, Euthynnus alletteratus","Teleost","FGDs, KIIs, Field observations","Fulu fulu","Fulu fulu"
"Balistes capriscus","Balistes capriscus","Teleost","FGDs, KIIs, Field observations","Asno fundo","Asno fundo"
"Balistes punctatus","Balistes punctatus","Teleost","FGDs, KIIs, Field observations","Asno terra","Asno galinha"
"Beryx decadactylus","Beryx decadactylus","Teleost","FGDs, KIIs, Field observations","Ue-Nguene nguene, Olho lente","Olho brilhante, Olho lente"
"Bodianus speciosus","Bodianus speciosus","Teleost","FGDs, KIIs, Field observations","Bulhão bica","Bulhão"
"Boops boops","Boops boops","Teleost","FGDs, KIIs, Field observations","Bonga","Bonga"
"Bothidae","Bothus guibei, Bothus lunatus, Syacium micrurum","Teleost","FGDs, KIIs, Field observations","Linguado","Lingualé; Linguado"
"Branchiostegus semifasciatus","Branchiostegus semifasciatus","Teleost","FGDs, KIIs, Field observations","Peixe cabra","Peixe cabra"
"Canthidermis sufflamen","Canthidermis sufflamen","Teleost","FGDs, KIIs, Field observations","Asno mambo","Asno oceanico"
"Caranx bartholomaei","Caranx bartholomaei","Teleost","FGDs, KIIs, Field observations","Selé; cheréu","Selé; cheréu"
"Caranx crysos","Caranx crysos","Teleost","FGDs, KIIs, Field observations","Bonito","Bonito"
"Caranx hippos","Caranx hippos","Teleost","FGDs, KIIs, Field observations","Cocovado","Cocovado"
"Caranx latus","Caranx latus","Teleost","FGDs, KIIs, Field observations","Olho grosso","Olho grosso"
"Caranx lugubris","Caranx lugubris","Teleost","FGDs, KIIs, Field observations","Cocovado de fundo","Cocovado de fundo"
"Selachimorpha","Carcharhinus falciformis, Carcharhinus limbatus","Selachimorpha","FGDs, KIIs, Field observations","Tubarão","Tubarão"
"Cephalopholis nigri","Cephalopholis nigri","Teleost","FGDs, KIIs, Field observations","Colobo","Garopa preta"
"Cephalopholis taeniops","Cephalopholis taeniops","Teleost","FGDs, KIIs, Field observations","Bobó Quemá","Bobo quema"
"Channomuraena vittata","Channomuraena vittata","Teleost","FGDs, KIIs, Field observations","Moreia tropa","Moreia bronze"
"Chilomycterus reticulatus","Chilomycterus reticulatus","Teleost","FGDs, KIIs, Field observations","Bubu","Bubu"
"Cirrhitus atlanticus","Cirrhitus atlanticus","Teleost","FGDs, KIIs, Field observations","Caze-Budu","Capataz, Capataz de pedra, Rabo tissora"
"Coris atlantica","Coris atlantica","Teleost","FGDs, KIIs, Field observations","Rainha","Rainha"
"Coryphaena equiselis","Coryphaena equiselis","Teleost","FGDs, KIIs, Field observations","Colombeta cavede","Colombeta"
"Coryphaena hippurus","Coryphaena hippurus","Teleost","FGDs, KIIs, Field observations","Colombeta","Colombeta"
"Dactylopterus volitans","Dactylopterus volitans","Teleost","FGDs, KIIs, Field observations","Concom","Concom"
"Hypanus rudis","Hypanus rudis","Myliobatiformes","FGDs, KIIs, Field observations","Raia","Raia"
"Decapterus sp.","Decapterus macarellus, Decapterus punctatus","Teleost","FGDs, KIIs, Field observations","Cavala","Cavala"
"Dentex congoensis","Dentex congoensis","Teleost","FGDs, KIIs, Field observations","Vermelho dente; Mamaminha","Besugo"
"Dentex macrophthalmus","Dentex macrophthalmus","Teleost","FGDs, KIIs, Field observations","Vermelho fundo","Vermelho fundo"
"Drepane africana","Drepane africana","Teleost","FGDs, KIIs, Field observations","Cozinheiro","Cozinheiro"
"Elagatis bipinnulata","Elagatis bipinnulata","Teleost","FGDs, KIIs, Field observations","Alada","Alada"
"Enchelycore nigricans","Enchelycore nigricans","Teleost","FGDs, KIIs, Field observations","Moreia cão","Moreia cão"
"Ephippus goreensis","Ephippus goreensis","Teleost","FGDs, KIIs, Field observations","Cozinheiro de rio","Cozinheiro de rio"
"Epinephelus adscensionis","Epinephelus adscensionis","Teleost","FGDs, KIIs, Field observations","Glopim","Glopim"
"Epinephelus aeneus","Epinephelus aeneus","Teleost","FGDs, KIIs, Field observations","Bacalhau","Bacalhau"
"Epinephelus goreensis","Epinephelus goreensis","Teleost","FGDs, KIIs, Field observations","Badejo","Badejo"
"Epinephelus marginatus","Epinephelus marginatus","Teleost","FGDs, KIIs, Field observations","Mero","Mero"
"Epinephelus morio","Epinephelus morio","Teleost","FGDs, KIIs, Field observations","Mero","Mero"
"Erythrocles monodi","Erythrocles monodi","Teleost","FGDs, KIIs, Field observations","Vermelho sangue","Vermelho sangue"
"Euthynnus alletteratus","Euthynnus alletteratus","Teleost","FGDs, KIIs, Field observations","Fulu fulu batido","Fulu fulu batido"
"Exocetidae","Exocoetus volitans, Cheilopogon melanurus","Teleost","FGDs, KIIs, Field observations","Peixe voador","Peixe voador"
"Fistularia tabacaria","Fistularia tabacaria","Teleost","FGDs, KIIs, Field observations","Agulha buzina","Agulha buzina"
"Galeoides decadactylus","Galeoides decadactylus","Teleost","FGDs, KIIs, Field observations","Barbudo","Barbudo"
"Ginglymostoma cirratum","Ginglymostoma cirratum","Selachimorpha","FGDs, KIIs, Field observations","Tubarao areia","Tubarao areia"
"Grammonus longhursti","Grammonus longhursti","Teleost","FGDs, KIIs, Field observations","Blonze","Blonze"
"Gymnothorax vicinus","Gymnothorax vicinus","Teleost","FGDs, KIIs, Field observations","Moreia-De terra","Moreia fula"
"Hemiramphus balao","Hemiramphus balao","Teleost","FGDs, KIIs, Field observations","Maxipombo","Maxipombo"
"Heteropriacanthus cruentatus","Heteropriacanthus cruentatus","Teleost","FGDs, KIIs, Field observations","Vermelho sol","Vermelho sol"
"Holocentrus adscensionis","Holocentrus adscensionis","Teleost","FGDs, KIIs, Field observations","Caqui","Caqui"
"Istiophorus albicans","Istiophorus albicans","Teleost","FGDs, KIIs, Field observations","Peixe andala","Peixe andala"
"Katsuwonus pelamis","Katsuwonus pelamis","Teleost","FGDs, KIIs, Field observations","Sintra","Sintra"
"Kyphosus sp.","Kyphosus sectatrix, Kyphosus incisor","Teleost","FGDs, KIIs, Field observations","Sopa","Sopa"
"Lagocephalus laevigatus","Lagocephalus laevigatus","Teleost","FGDs, KIIs, Field observations","Coelho","Coelho"
"Lethrinus atlanticus","Lethrinus atlanticus","Teleost","FGDs, KIIs, Field observations","Bica","Bica"
"Lobotes surinamensis","Lobotes surinamensis","Teleost","FGDs, KIIs, Field observations","Tchintchin de fundo, Tchintchin pego","Tchintchin de fundo, Tchintchin pego"
"Crustacean","Lobster","Crustacean","FGDs, KIIs, Field observations","Lagosta","Lagosta"
"Lutjanus sp.","Lutjanus agennes, Lutjanus dentatus, Lutjanus endecacanthus, Lutjanus goreensis","Teleost","FGDs, KIIs, Field observations","Corvina","Corvina"
"Lutjanus agennes","Lutjanus agennes","Teleost","FGDs, KIIs, Field observations","Corvina preta","Corvina preta"
"Lutjanus dentatus","Lutjanus dentatus","Teleost","FGDs, KIIs, Field observations","Corvina de rio","Corvina de rio"
"Lutjanus endecacanthus","Lutjanus endecacanthus","Teleost","FGDs, KIIs, Field observations","Corvina de caça","Corvina caçadeira"
"Lutjanus fulgens","Lutjanus fulgens","Teleost","FGDs, KIIs, Field observations","Vermelho terra","Vermelho terra"
"Lutjanus goreensis","Lutjanus goreensis","Teleost","FGDs, KIIs, Field observations","Corvina vermelha","Corvina vermelha"
"Makaira nigricans","Makaira nigricans","Teleost","FGDs, KIIs, Field observations","Estromba","Estromba"
"Melichthys niger","Melichthys niger","Teleost","FGDs, KIIs, Field observations","Asno preto","Asno preto"
"Mobula sp.","Mobula birostris, Mobula birostris","Mobulidae","FGDs, KIIs, Field observations","Uzua manta","Marfim"
"Mulloidichthys martinicus","Mulloidichthys martinicus","Teleost","FGDs, KIIs, Field observations","Sabonete","Sabonete"
"Mullus surmuletus","Mullus surmuletus","Teleost","FGDs, KIIs, Field observations","Sabonete vermelho","Sabonete vermelho"
"Muraena melanotis","Muraena melanotis","Teleost","FGDs, KIIs, Field observations","Moreia mapinta","Moreia mapinta"
"Muraena robusta","Muraena robusta","Teleost","FGDs, KIIs, Field observations","Moreia carronca","Moreia carronca"
"Mycteroperca rubra","Mycteroperca rubra","Teleost","FGDs, KIIs, Picture ID","Mero","Murianga"
"Myrichthys pardalis","Myrichthys pardalis","Teleost","FGDs, KIIs, Field observations","Cobra marinha","Cobra marinha"
"Myripristis jacobus","Myripristis jacobus","Teleost","FGDs, KIIs, Field observations","Mae de caqui","Mae de caqui"
"Gastropoda",NA,"Gastropoda","FGDs, KIIs, Field observations","Buzio do mar","Buzio do mar"
"Teleost",NA,"Teleost","FGDs, KIIs, Field observations",NA,NA
"Octopus sp.","Octopus vulgaris, Octopus insularis","Cephalopoda","Lima et al, 2023 (https://doi.org/10.1016/j.pocean.2023.103019)","Polvo","Polvo"
"Ophichthus rufus","Ophichthus rufus","Teleost","FGDs, KIIs, Field observations","Moreia concom","Moreia concom"
"Pagellus bellottii","Pagellus bellottii","Teleost","FGDs, KIIs, Field observations","Malagueta","Malagueta"
"Pagrus sp.","Pagrus caeruleostictus, Pagrus pagrus","Teleost","FGDs, KIIs, Field observations","Pargo","Pargo"
"Pagrus caeruleostictus","Pagrus caeruleostictus","Teleost","FGDs, KIIs, Field observations","Pargo","Pargo"
"Pagrus pagrus","Pagrus pagrus","Teleost","FGDs, KIIs, Field observations","Pargo","Pargo"
"Paranthias furcifer","Paranthias furcifer","Teleost","FGDs, KIIs, Field observations","Mulato","Mulato"
"Plectorhinchus macrolepis","Plectorhinchus macrolepis","Teleost","FGDs, KIIs, Field observations","Peixe porco","Peixe porco"
"Polyprion americanus","Polyprion americanus","Teleost","FGDs, KIIs, Field observations","Cherne","Cherne"
"Pomadasys incisus","Pomadasys incisus","Teleost","Picture ID","Bujigo","Roncador de fundo"
"Pomadasys rogerii","Pomadasys rogerii","Teleost","FGDs, KIIs, Field observations","Roncador","Roncador"
"Pontinus kuhlii","Pontinus kuhlii","Teleost","FGDs, KIIs, Field observations","Canga","Canga"
"Priacanthus arenatus","Priacanthus arenatus","Teleost","FGDs, KIIs, Field observations","Vermelho sol de fundo","Vermelho sol de fundo"
"Prionurus biafraensis","Prionurus biafraensis","Teleost","FGDs, KIIs, Field observations","Asno cota","Asno cota"
"Pseudupeneus prayensis","Pseudupeneus prayensis","Teleost","FGDs, KIIs, Field observations","Sabonete vermelho","Sabonete vermelho"
"Pseudotolithus sp.","Pseudotolithus brachygnathus, Pseudotolithus senegallus, Pseudotolithus senegalensis","Teleost","FGDs, KIIs, Field observations","Roncador de fundo","Roncador de fundo"
"Rypticus saponaceus","Rypticus saponaceus","Teleost","FGDs, KIIs, Field observations","Funhe","Funhe"
"Sardinella sp.","Sardinella maderensis, Sardinella aurita, Sardinella rouxi","Teleost","FGDs, KIIs, Field observations","Sardinha","Sardinha"
"Sargocentron hastatum","Sargocentron hastatum","Teleost","FGDs, KIIs, Field observations","Caqui de pedra","Caqui de pedra"
"Scarus hoefleri","Scarus hoefleri","Teleost","FGDs, KIIs, Field observations","Bulhao papagaio","Bulhao papagaio"
"Scomberomorus tritor","Scomberomorus tritor","Teleost","FGDs, KIIs, Field observations","Peixe serra","Peixe serra"
"Scorpaena laevis","Scorpaena laevis","Teleost","FGDs, KIIs, Field observations","Comê molê","Come mole"
"Selar crumenophthalmus","Selar crumenophthalmus","Teleost","FGDs, KIIs, Field observations","Carapau","Carapau"
"Selene dorsalis","Selene dorsalis","Teleost","FGDs, KIIs, Field observations","Pata pata","Pata pata"
"Sepia sp.","Sepia officinalis","Cephalopoda","FGDs, KIIs, Field observations","Choco","Choco"
"Seriola rivoliana","Seriola rivoliana","Teleost","FGDs, KIIs, Field observations","Peixe azeite","Peixe azeite"
"Sparisoma choati","Sparisoma choati","Teleost","FGDs, KIIs, Field observations","Bulhão papagaio; Bulhão sequé","Bulhão papagaio"
"Sparisoma rubripinne","Sparisoma rubripinne","Teleost","FGDs, KIIs, Field observations","Bulhão papagaio","Bulhão papagaio"
"Sphyraena barracuda","Sphyraena barracuda","Teleost","FGDs, KIIs, Field observations","Barracuda","Barracuda"
"Sphyraena sphyraena","Sphyraena sphyraena","Teleost","FGDs, KIIs, Field observations","Alichote","Alichote"
"Sphyrna sp.","Sphyrna lewini, Sphyrna couardi","Selachimorpha","FGDs, KIIs, Field observations","Tubarao martelo","Tubarao martelo"
"Sphyrna lewini","Sphyrna lewini","Selachimorpha","FGDs, KIIs, Field observations","Tubarao martelo","Tubarao martelo"
"Sphyrna couardi","Sphyrna couardi","Selachimorpha","FGDs, KIIs, Field observations","Tubarao martelo","Tubarao martelo"
"Spicara sp.","Spicara melanurus, Spicara nigricauda","Teleost","FGDs, KIIs, Field observations","Mazebe","Dobrada"
"Taeniurops grabatus","Taeniurops grabatus","Myliobatiformes","FGDs, KIIs, Field observations","Raia","Raia"
"Thalassoma newtoni","Thalassoma newtoni","Teleost","FGDs, KIIs, Field observations","Rainha","Rainha"
"Thunnus albacares","Thunnus albacares","Teleost","FGDs, KIIs, Field observations","Atum olede","Atum olede"
"Thunnus obesus","Thunnus obesus","Teleost","FGDs, KIIs, Field observations","Atum","Atum"
"Trachinotus goreensis","Trachinotus goreensis","Teleost","FGDs, KIIs, Field observations","Pata pata","Pata pata"
"Trachinotus ovatus","Trachinotus ovatus","Teleost","FGDs, KIIs, Field observations","Pata pata","Pata pata"
"Tylosurus sp.","Tylosurus rafale, Tylosurus crocodilus","Teleost","FGDs, KIIs, Field observations","Agulha quio","Agulha quio"
"Umbrina cirrosa","Umbrina cirrosa","Teleost","FGDs, KIIs, Field observations","Barbudo fundo","Barbudo fundo"
"Uraspis secunda","Uraspis secunda","Teleost","FGDs, KIIs, Field observations","Osso mole","Osso mole"
"Xyrichtys novacula","Xyrichtys novacula","Teleost","FGDs, KIIs, Field observations","Lainha","Lainha"
"Mobula cf. birostris","Mobula birostris, Mobula birostris","Myliobatiformes","Picture ID","Uzua manta","Marfim"
"Chelidonichthys gabonensis","Chelidonichthys gabonensis","Teleost","Picture ID",NA,NA
"Bothus podas","Bothus podas","Teleost","Picture ID",NA,NA
"Mugil cephalus","Mugil cephalus","Teleost","Picture ID","Tainha","Tainha"
"Acanthostracion notacanthus","Acanthostracion notacanthus","Teleost","Picture ID","Impinho","Impinho"
"Canthidermis maculata","Canthidermis maculata","Teleost","Picture ID","Asno pego","Asno pego"
"Antennarius multiocellatus","Antennarius multiocellatus","Teleost","Picture ID",NA,NA
"Holacanthus africanus","Holacanthus africanus","Teleost","Picture ID","Tchintchin","Tchintchin"
"Polymixia nobilis","Polymixia nobilis","Teleost","Picture ID","Barbudo de fundo","Barbudo de fundo"
"Lepidocybium flavobrunneum","Lepidocybium flavobrunneum","Teleost","Picture ID",NA,NA
"Sphoeroides pachygaster","Sphoeroides pachygaster","Teleost","Picture ID","Coelho branco","Coelho branco"
"Promethichthys prometheus","Promethichthys prometheus","Teleost","Picture ID",NA,NA
"Zeus faber","Zeus faber","Teleost","Picture ID","Peixe galo","Peixe galo"
"Naucrates ductor","Naucrates ductor","Teleost","Picture ID","Peixe piloto","Peixe piloto"
"Physiculus sp.","Physiculus huloti","Teleost","Picture ID",NA,NA
"Nealotus tripes","Nealotus tripes","Teleost","Picture ID",NA,NA
"Psettodes belcheri","Psettodes belcheri","Teleost","Picture ID","Linguado preto","Linguado preto"
"Trachinus lineolatus","Trachinus lineolatus","Teleost","Picture ID","Peixe lenha","Peixe lenha"
"Trachinus radiatus","Trachinus radiatus","Teleost","Picture ID","Lagartiça","Lagartiça"
"Elops lacerta","Elops lacerta","Teleost","Picture ID","Tainha Congo","Tainha Congo"
"Synodus synodus","Synodus synodus","Teleost","Picture ID","Peixe lenha","Peixe lenha"
"Umbrina canariensis","Umbrina canariensis","Teleost","Picture ID","Sem nome local","Sem nome local"
"Carcharhinus altimus","Carcharhinus altimus","Selachimorpha","Picture ID",NA,NA
"Carcharhinus brachyurus","Carcharhinus brachyurus","Selachimorpha","Picture ID",NA,NA
"Carcharhinus brevipinna","Carcharhinus brevipinna","Selachimorpha","Picture ID",NA,NA
"Carcharhinus falciformis","Carcharhinus falciformis","Selachimorpha","Picture ID",NA,NA
"Carcharhinus leucas","Carcharhinus leucas","Selachimorpha","Picture ID",NA,NA
"Carcharhinus limbatus","Carcharhinus limbatus","Selachimorpha","Picture ID",NA,NA
"Carcharhinus obscurus","Carcharhinus obscurus","Selachimorpha","Picture ID",NA,NA
"Carcharhinus signatus","Carcharhinus signatus","Selachimorpha","Picture ID",NA,NA
"Carcharhinus sp.","Carcharhinus falciformis, Carcharhinus limbatus","Selachimorpha","Picture ID",NA,NA
"Galeocerdo cuvier","Galeocerdo cuvier","Selachimorpha","Picture ID",NA,NA
"Isurus oxyrinchus","Isurus oxyrinchus","Selachimorpha","Picture ID",NA,NA
"Negaprion brevirostris","Negaprion brevirostris","Selachimorpha","Picture ID",NA,NA
"Odontaspis ferox","Odontaspis ferox","Selachimorpha","Picture ID",NA,NA
"Prionace glauca","Prionace glauca","Selachimorpha","Picture ID",NA,NA
"Rhizoprionodon acutus","Rhizoprionodon acutus","Selachimorpha","Picture ID",NA,NA
"Centrolophus niger","Centrolophus niger","Teleost","Picture ID","Sem nome local","Sem nome local"
"Bothus lunatus","Bothus lunatus","Teleost","Picture ID","Linguado","Linguado"
"Bothus sp.","Bothus lunatus, Bothus podas","Teleost","Picture ID","Linguado","Linguado"
"Syacium guineense","Syacium guineense","Teleost","Picture ID","Linguado","Linguado"
"Megalops atlanticus","Megalops atlanticus","Teleost","Picture ID",NA,NA
"Holocanthus africanus","Holocanthus africanus","Teleost","Picture ID",NA,NA
"Dasyatidae","Hypanus rudis, Taeniurops grabatus","Myliobatiformes","Picture ID",NA,NA
